name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,id,html,cluster
Addicted to Carrion,Avulsed,184.0,0.96,9,-9.975,0,969.0,7.8e-05,875.0,216.0,331.0,151.694,,211080,4,3853GMu80zNQh5gty9j7sN,https://open.spotify.com/track/3853GMu80zNQh5gty9j7sN,4.0
Devourer of the Dead,Avulsed,207.0,885.0,1,-10.157,1,601.0,5.96e-06,901.0,107.0,262.0,152.42,,293827,3,7gOKeY9AjDB0EYvPOumzgx,https://open.spotify.com/track/7gOKeY9AjDB0EYvPOumzgx,6.0
Satanic Lust,Sarcófago,194.0,0.94,0,-9.551,1,689.0,4.08e-06,614.0,67.0,109.0,92.406,,188600,4,3qRnT9wYaNkM30Dd29rmRl,https://open.spotify.com/track/3qRnT9wYaNkM30Dd29rmRl,4.0
Nightmare,Sarcófago,347.0,0.75,0,-10.306,1,493.0,1.03e-05,811.0,136.0,262.0,130.114,,338000,4,0xQ5ePM5ubU1YosD8W1E6o,https://open.spotify.com/track/0xQ5ePM5ubU1YosD8W1E6o,2.0
The Black Vomit,Sarcófago,381.0,0.99,2,-8.415,1,871.0,3.9e-06,878.0,309.0,0.23,131.686,,141267,4,6ISr8phAkO6HDIOiCFEpSi,https://open.spotify.com/track/6ISr8phAkO6HDIOiCFEpSi,8.0
Rotting,Sarcófago,217.0,958.0,5,-4.807,1,955.0,68.0,118.0,769.0,954.0,135.157,,419800,4,3f4DfhiwimutkIlAOVVKHL,https://open.spotify.com/track/3f4DfhiwimutkIlAOVVKHL,2.0
Severed Survival - Studio,Autopsy,195.0,915.0,1,-7.24,1,788.0,2.22e-06,142.0,569.0,408.0,95.946,,208067,4,1Ql1KrxEzZJ5xxqx7j2YKj,https://open.spotify.com/track/1Ql1KrxEzZJ5xxqx7j2YKj,4.0
In Torment in Hell,Deicide,335.0,976.0,2,-8.966,1,68.0,232.0,0.88,106.0,0.24,93.203,,242027,1,1WzYU57GZtWIQfAkQaVZzE,https://open.spotify.com/track/1WzYU57GZtWIQfAkQaVZzE,0.0
Chamber of Ages,Massacre,286.0,926.0,7,-10.55,1,192.0,536.0,756.0,126.0,159.0,96.91,,290920,4,6GIlpEMA9Xq26B9orzZZ7c,https://open.spotify.com/track/6GIlpEMA9Xq26B9orzZZ7c,6.0
Malicious Intent,Napalm Death,361.0,858.0,2,-14.114,1,121.0,2.66e-05,752.0,249.0,432.0,113.103,,206373,4,57vBssR69pxDyjaXlJLohG,https://open.spotify.com/track/57vBssR69pxDyjaXlJLohG,4.0
Imperial Doom,Monstrosity,275.0,902.0,7,-9.829,1,207.0,2.61e-06,245.0,363.0,292.0,117.813,,250573,4,0w2RPfhSZUSDMwpHnhci36,https://open.spotify.com/track/0w2RPfhSZUSDMwpHnhci36,0.0
Faces,Polluted Inheritance,337.0,863.0,7,-12.082,1,111.0,2.0,504.0,897.0,265.0,110.208,,234533,4,4CKVXOokIZaxIac13dyyDn,https://open.spotify.com/track/4CKVXOokIZaxIac13dyyDn,0.0
Dissolved,Polluted Inheritance,271.0,929.0,7,-11.403,1,0.16,126.0,482.0,525.0,185.0,149.837,,251227,4,5ZrWlewWJ0jZtiGkjPzwUl,https://open.spotify.com/track/5ZrWlewWJ0jZtiGkjPzwUl,0.0
Forgotten Cause,Polluted Inheritance,359.0,706.0,1,-15.783,1,646.0,7.9e-05,0.64,184.0,302.0,134.888,,225280,4,1LZzirHNve4Ur8hEFsm0wg,https://open.spotify.com/track/1LZzirHNve4Ur8hEFsm0wg,0.0
Substance of Existence,Polluted Inheritance,361.0,917.0,6,-11.339,0,0.13,2.76e-05,896.0,114.0,153.0,115.866,,224640,4,3uybutA7FgTBlhdwulkt5B,https://open.spotify.com/track/3uybutA7FgTBlhdwulkt5B,0.0
